area_name,n_unmarried_males_20_24,n_unmarried_males_25_29,n_unmarried_males_30_34,n_married_males_20_24,n_married_males_25_29,n_married_males_30_34,n_unmarried_females_20_24,n_unmarried_females_25_29,n_unmarried_females_30_34,n_married_females_20_24,n_married_females_25_29,n_married_females_30_34,n_males_middle_school_dropout,n_males_high_school_dropout,n_males_ged,n_males_college_dropout,n_males_associates,n_males_bachelors,n_males_grad,n_females_middle_school_dropout,n_females_high_school_dropout,n_females_ged,n_females_college_dropout,n_females_associates,n_females_bachelors,n_females_grad,n_households,n_white_households,n_black_households,n_amerindian_households,n_asian_households,n_islander_households,n_mixed_households,n_hispanic_households,median_income_males_living_alone,median_income_females_living_alone,p_male_disabled,p_female_disabled,p_white_disabled,p_black_disabled,p_amerindian_disabled,p_asian_disabled,p_hawaiian_disabled,p_nonhisp_white_disabled,p_hispanic_disabled,p_disabled_18_34,p_deaf_18_34,p_blind_18_34,p_cognitive_18_34,p_ambulatory_18_34,p_self_care_18_34,p_independent_living_18_34,median_rent_overall,median_rent_0_bed,median_rent_1_bed,median_rent_2_bed,median_rent_3_bed,n_males_20_34,n_males_35_44,n_females_20_34,n_females_35_44,n_labor_males,n_working_males,n_labor_females,n_working_females,p_married,p_unmarried,p_males_20_34_unmarried,p_females_20_34_unmarried,p_hispanic_unmarried,p_white_unmarried,p_black_unmarried,p_amerindian_unmarried,p_asian_unmarried,p_islander_unmarried,p_white_non_hispanic_unmarried,p_unmarried_males_working,p_unmarried_females_working,n_people,n_males,n_females,n_males_18over,n_females_18over,n_males_65over,n_females_65over,n_white,n_black,n_amerindian,n_asian,n_indian,n_islander,n_mixed,n_hapa,n_hispanic,n_cuban,n_housing,total,n_unmarried_households,n_male_male_couple,n_male_female_couple,n_female_female_couple,n_female_male_couple,n_other_household,percent_obese_fem,percent_obese_male,p_unmarried_20_24_female,p_unmarried_25_29_female,p_unmarried_30_34_female,n_extra_unmarried_20_24_females,m_f_income_gap,m_f_income_ratio,p_gay,m_f_obesity_diff,p_hapa,p_white,p_black
"Aberdeen, SD Micro Area",1520.0,904.0,391.0,53.0,536.0,739.0,1148.0,612.0,367.0,335.0,657.0,781.0,3.0,229.0,728.0,905.0,163.0,130.0,0.0,20.0,331.0,598.0,936.0,41.0,257.0,5.0,17849.0,16279.0,418.0,507.0,469.0,0.0,138.0,422.0,38985.0,28149.0,11.8,10.3,11.2,17.7,13.8,0.7,,11.4,4.9,6.3,0.8,2.2,3.5,1.4,0.4,1.5,692.0,681.0,554.0,720.0,965.0,4455.0,2429.0,4203.0,2244.0,16730.0,12233.0,17241.0,11196.0,52.8,30.0,63.2,50.6,61.0,26.8,64.6,61.2,62.7,,26.0,31.4,26.0,42824.0,21135.0,21689.0,16094.0,16619.0,3282.0,4120.0,38587.0,930.0,1400.0,1219.0,142.0,0.0,608.0,11.0,1239.0,7.0,20075.0,17747.0,1053.0,56.0,440.0,4.0,553.0,16694.0,33.1,34.6,0.4302848575712144,0.40369393139841686,0.4841688654353562,-372.0,10836.0,1.384951508046467,0.05318138651471985,1.5,0.0002568653091724267,0.9010601531851299,0.021716794320941528
"Aberdeen, WA Micro Area",1952.0,1656.0,1133.0,36.0,505.0,761.0,1301.0,990.0,588.0,162.0,527.0,1118.0,34.0,417.0,1293.0,823.0,161.0,32.0,0.0,24.0,375.0,728.0,813.0,236.0,195.0,0.0,28722.0,26098.0,77.0,1115.0,338.0,31.0,883.0,1671.0,26304.0,21950.0,20.8,17.5,19.8,12.7,15.0,6.7,19.3,21.3,5.7,7.4,1.4,1.2,4.0,2.6,1.2,2.5,775.0,512.0,572.0,766.0,1071.0,6678.0,4610.0,5439.0,3927.0,30538.0,16003.0,28950.0,14616.0,48.8,27.5,71.0,52.9,44.1,25.7,45.9,40.1,27.3,48.7,24.3,33.3,25.8,72779.0,37317.0,35462.0,29682.0,28161.0,7344.0,7955.0,63802.0,859.0,3075.0,1096.0,32.0,200.0,3164.0,389.0,7246.0,154.0,36273.0,28263.0,2715.0,8.0,1196.0,12.0,1499.0,25548.0,36.1,34.8,0.3999385182908085,0.3741496598639456,0.34166182452062754,-651.0,4354.0,1.1983599088838268,0.0029465930018416206,-1.3000000000000043,0.005344948405446626,0.8766539798568268,0.011802855219225326
"Abilene, TX Metro Area",7241.0,3986.0,2673.0,1010.0,2434.0,2444.0,5633.0,2715.0,1260.0,1652.0,2658.0,2862.0,221.0,1370.0,4798.0,4117.0,488.0,595.0,33.0,49.0,914.0,3198.0,4793.0,465.0,1086.0,9.0,60931.0,50460.0,3907.0,397.0,788.0,11.0,939.0,11475.0,28152.0,23629.0,16.7,15.3,16.9,17.0,9.2,6.1,0.0,17.7,11.4,7.4,1.1,1.4,5.1,1.1,0.8,3.9,907.0,687.0,683.0,861.0,1082.0,22406.0,10711.0,19211.0,9260.0,67756.0,42571.0,66727.0,38459.0,47.5,32.3,62.0,50.0,39.1,28.7,53.8,49.6,31.2,0.0,27.1,32.8,29.4,170669.0,86183.0,84486.0,65679.0,64524.0,11118.0,14248.0,132039.0,13961.0,1162.0,3148.0,262.0,44.0,4956.0,848.0,40232.0,236.0,71513.0,60394.0,3670.0,59.0,1562.0,84.0,1965.0,56724.0,27.2,26.1,0.4375485474599969,0.4051634084465005,0.32036613272311215,-1608.0,4523.0,1.1914173261669982,0.016076294277929157,-1.0999999999999979,0.00496868206879984,0.7736554383045544,0.08180161599353133
"Ada, OK Micro Area",1368.0,847.0,455.0,122.0,509.0,639.0,1331.0,606.0,295.0,225.0,584.0,703.0,15.0,252.0,767.0,935.0,137.0,105.0,0.0,6.0,215.0,635.0,1087.0,137.0,160.0,8.0,14278.0,10419.0,356.0,1658.0,118.0,0.0,1602.0,511.0,26970.0,22331.0,16.3,15.5,16.9,15.0,15.7,0.3,0.0,17.4,8.8,7.4,1.6,2.2,4.1,2.0,1.3,3.3,707.0,672.0,509.0,714.0,816.0,4341.0,2156.0,4263.0,2224.0,14671.0,9565.0,15662.0,8706.0,48.1,30.6,61.5,52.4,46.7,25.6,61.2,38.3,60.5,100.0,25.0,30.8,28.3,38355.0,18832.0,19523.0,14211.0,15145.0,2753.0,3519.0,26364.0,972.0,4886.0,298.0,34.0,36.0,5379.0,172.0,2058.0,0.0,16881.0,14354.0,773.0,10.0,374.0,22.0,367.0,13581.0,30.7,31.4,0.4931456094849944,0.41706813489332417,0.3933333333333333,-37.0,4639.0,1.207738121893332,0.0129366106080207,0.6999999999999993,0.004484421848520401,0.6873680093859992,0.025342197888150175
"Adrian, MI Micro Area",3007.0,2219.0,1456.0,235.0,715.0,1175.0,2638.0,1465.0,805.0,345.0,953.0,1384.0,31.0,629.0,1919.0,1951.0,138.0,171.0,0.0,9.0,501.0,1369.0,1911.0,276.0,146.0,75.0,38345.0,36806.0,413.0,149.0,127.0,9.0,499.0,2454.0,34943.0,25431.0,15.3,15.7,15.5,15.4,28.9,12.1,0.0,15.9,10.9,7.5,0.9,1.1,5.0,1.3,1.1,3.5,767.0,521.0,582.0,757.0,934.0,9435.0,6203.0,8249.0,5510.0,40283.0,24765.0,39728.0,22159.0,49.9,30.1,70.8,59.5,43.9,28.3,63.7,38.3,17.5,45.0,27.4,32.2,28.9,98381.0,49699.0,48682.0,38900.0,38625.0,8092.0,9958.0,91576.0,2471.0,475.0,305.0,7.0,20.0,2767.0,392.0,7842.0,35.0,43806.0,38222.0,2770.0,17.0,1384.0,47.0,1322.0,35452.0,37.5,36.6,0.46731620903454385,0.3976655808903366,0.3560371517027864,-369.0,9512.0,1.3740316936022965,0.006137184115523465,-0.8999999999999986,0.00398450920401297,0.9308301399660504,0.025116638375296044
"Aguadilla-Isabela, PR Metro Area",9685.0,7641.0,4949.0,182.0,1269.0,2411.0,8915.0,5658.0,3896.0,478.0,2055.0,2705.0,392.0,1321.0,4357.0,5628.0,1508.0,989.0,90.0,274.0,774.0,2783.0,6398.0,1758.0,1623.0,0.0,109248.0,80572.0,3419.0,73.0,149.0,0.0,3367.0,106541.0,9925.0,8453.0,23.6,23.0,23.2,27.6,29.9,16.4,0.0,25.3,23.3,8.0,1.0,2.1,4.3,2.5,1.2,4.0,425.0,265.0,266.0,392.0,459.0,27951.0,18265.0,27875.0,19294.0,120837.0,54350.0,130445.0,44077.0,40.9,36.2,79.7,66.3,36.1,35.2,36.4,51.3,17.9,100.0,37.6,41.8,35.2,301107.0,146432.0,154675.0,116688.0,126534.0,27773.0,32490.0,223537.0,8164.0,174.0,320.0,164.0,12.0,9584.0,120.0,291542.0,336.0,146903.0,110489.0,8226.0,96.0,4318.0,16.0,3796.0,102263.0,,,0.4793010752688172,0.42544552221971577,0.4404748445449406,-770.0,1472.0,1.174139358807524,0.011670313639679067,,0.00039852942641652303,0.7423839366072525,0.02711328531053745
"Akron, OH Metro Area",24600.0,18355.0,9581.0,915.0,5060.0,9825.0,23512.0,15088.0,7730.0,1757.0,6893.0,10706.0,255.0,4097.0,11906.0,15177.0,1411.0,3299.0,156.0,325.0,2953.0,8910.0,17316.0,1861.0,5348.0,322.0,286543.0,239245.0,35322.0,532.0,6347.0,56.0,4207.0,4504.0,33137.0,26613.0,13.1,13.3,13.4,14.0,26.3,6.0,39.1,13.4,10.5,7.1,0.8,0.8,4.9,1.3,1.0,2.9,830.0,665.0,642.0,831.0,969.0,71299.0,39602.0,70962.0,40621.0,277645.0,192529.0,299658.0,178784.0,46.5,33.6,73.7,65.3,45.0,30.6,50.6,31.0,32.2,41.7,30.4,36.8,34.5,703845.0,342350.0,361495.0,268454.0,290452.0,52849.0,67584.0,572549.0,85475.0,1222.0,21337.0,6261.0,133.0,20290.0,3752.0,14597.0,414.0,315127.0,286378.0,18993.0,272.0,9260.0,405.0,9056.0,267385.0,33.8,30.5,0.48869304955104753,0.4511556977543881,0.446536884062157,-1088.0,6524.0,1.2451433509938752,0.014321065655767915,-3.299999999999997,0.005330719121397467,0.8134589291676434,0.12144008979249693
"Alamogordo, NM Micro Area",2688.0,1839.0,840.0,575.0,763.0,1111.0,1142.0,1053.0,683.0,686.0,904.0,1224.0,77.0,583.0,1618.0,1548.0,169.0,328.0,30.0,12.0,225.0,1065.0,969.0,329.0,136.0,23.0,23634.0,20022.0,871.0,1209.0,225.0,18.0,401.0,6942.0,30132.0,23745.0,20.7,16.7,18.5,10.9,14.4,17.5,0.0,20.9,17.4,7.9,1.5,1.7,5.0,2.6,2.0,3.8,792.0,457.0,548.0,674.0,934.0,8810.0,3764.0,6424.0,3637.0,27130.0,15462.0,25290.0,12574.0,47.2,30.7,60.9,44.8,38.8,27.6,37.7,52.9,14.3,13.3,22.7,37.6,31.0,66137.0,34214.0,31923.0,26255.0,24436.0,5343.0,5905.0,52309.0,2343.0,4503.0,858.0,40.0,138.0,2277.0,265.0,25315.0,224.0,31745.0,23391.0,1165.0,12.0,490.0,0.0,663.0,22226.0,25.2,26.3,0.29817232375979114,0.36410788381742737,0.448456992777413,-1546.0,6387.0,1.2689829437776374,0.010300429184549357,1.1000000000000014,0.004006834298501595,0.7909188502653582,0.035426463250525425
"Albany, GA Metro Area",4840.0,3618.0,2225.0,220.0,758.0,1444.0,4892.0,3561.0,2113.0,361.0,1241.0,1799.0,311.0,1870.0,2903.0,2033.0,256.0,113.0,24.0,148.0,1105.0,2279.0,3551.0,311.0,245.0,87.0,55714.0,24882.0,29094.0,176.0,574.0,45.0,473.0,1354.0,31880.0,24029.0,15.4,15.2,15.7,15.3,19.7,15.7,7.8,15.9,6.7,7.9,0.9,2.4,5.0,1.5,1.1,2.7,756.0,580.0,581.0,693.0,848.0,14518.0,8388.0,15677.0,9528.0,53759.0,32887.0,62675.0,35116.0,40.3,36.8,73.6,67.4,45.0,22.5,48.9,17.4,26.1,13.0,21.7,36.7,37.0,148436.0,70206.0,78230.0,51780.0,60550.0,9738.0,13154.0,62530.0,79499.0,319.0,2023.0,527.0,77.0,2518.0,222.0,4140.0,283.0,65314.0,57804.0,3094.0,17.0,1540.0,71.0,1466.0,54710.0,31.1,26.2,0.5026715988491575,0.49603008775595486,0.4870908252650991,52.0,7851.0,1.3267302010071165,0.005494505494505495,-4.900000000000002,0.0014955940607399823,0.421258993775095,0.5355776226791344
"Albany-Lebanon, OR Metro Area",3233.0,2652.0,1587.0,391.0,1389.0,1940.0,2726.0,2015.0,1208.0,599.0,1837.0,1954.0,50.0,877.0,2096.0,1515.0,262.0,175.0,24.0,22.0,831.0,1356.0,1911.0,327.0,318.0,24.0,47762.0,44507.0,197.0,256.0,432.0,15.0,1538.0,2645.0,34489.0,24023.0,18.1,17.8,18.3,18.6,13.2,17.0,30.9,18.7,11.1,12.1,2.6,1.4,7.7,2.9,1.6,5.3,964.0,669.0,734.0,929.0,1154.0,12106.0,7305.0,11841.0,7590.0,48789.0,31197.0,51376.0,27596.0,51.6,27.4,61.7,50.2,49.4,26.2,49.5,32.2,31.1,56.0,25.1,30.5,28.1,125048.0,61638.0,63410.0,47152.0,49486.0,10562.0,12333.0,112036.0,627.0,1192.0,1344.0,259.0,123.0,5729.0,829.0,11393.0,103.0,50416.0,,,,,,,,35.7,37.0,0.4574593052525592,0.43175487465181056,0.43220035778175314,-507.0,10466.0,1.4356658202555883,,1.2999999999999972,0.006629454289552811,0.8959439575203122,0.005014074595355383
